ts,cheval,cavalier,discipline,epreuve,hauteur,classement_estime,proba,verdict,is_cold_start,model_name,snapshot,id
2026-05-25T05:55:04,INDIEN,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,12,6,cold-start,True,LightGBM,crawl-predict:c36a23a6,521bfcdea3b7
2026-05-25T05:55:04,FLEUR DES FAY'S,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,3,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,39a4cfb0f86b
2026-05-25T05:55:04,COQUIN DE LA BRESSE,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,4,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,d8386958f4b9
2026-05-25T05:55:04,DIABOLO,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,5,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,5c52eb4afa72
2026-05-25T05:55:04,GRANITA DU LOU,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,6,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,03e28cb15ca4
2026-05-25T05:55:04,LILOU,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,1,57,cold-start,True,LightGBM,crawl-predict:c36a23a6,eea8d591518b
2026-05-25T05:55:04,LILOU,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,2,57,cold-start,True,LightGBM,crawl-predict:c36a23a6,3ffdf2fb172d
2026-05-25T05:55:04,LUCO,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,7,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,47f5ae8da3ca
2026-05-25T05:55:04,DIABOLO,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,8,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,f69bc032ea0a
2026-05-25T05:55:04,BLEDINE DE LOGUES,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,9,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,ffac4f1b6ad5
2026-05-25T05:55:04,BULLE,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,10,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,67387a8c765e
2026-05-25T05:55:04,GRANITA DU LOU,Voir sa fiche,Equifun 40 cm,Club Poney B Benjamin Circuit Dpt individuel,,11,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,66a23ca2c30d
2026-05-25T05:55:04,FLEUR DES FAY'S,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Circuit Dpt individuel,,1,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,7a5e0c2520d9
2026-05-25T05:55:04,KANTJE'S BELAIR,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Circuit Dpt individuel,,2,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,b1bfbf19ce07
2026-05-25T05:55:04,DIABOLO,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Circuit Dpt individuel,,3,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,aff9e232c036
2026-05-25T05:55:04,VIRGULE,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Circuit Dpt individuel,,10,7,cold-start,True,LightGBM,crawl-predict:c36a23a6,7b351ebdbf9f
2026-05-25T05:55:04,BLEDINE DE LOGUES,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Circuit Dpt individuel,,4,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,59f2e3121b05
2026-05-25T05:55:04,ROB,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Circuit Dpt individuel,,5,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,108dd3abdd07
2026-05-25T05:55:04,VIRGULE,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Circuit Dpt individuel,,11,7,cold-start,True,LightGBM,crawl-predict:c36a23a6,03e632dff86e
2026-05-25T05:55:04,BELEM,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Circuit Dpt individuel,,6,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,96cdff939b69
2026-05-25T05:55:04,USSA,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Circuit Dpt individuel,,7,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,fa021313c389
2026-05-25T05:55:04,USSA,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Circuit Dpt individuel,,8,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,87f1d84aee7b
2026-05-25T05:55:04,GRANITA DU LOU,Voir sa fiche,Equifun 40 cm,Club Poney Benjamin Circuit Dpt individuel,,9,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,d703a4e6e2a4
2026-05-25T05:55:04,BAMBI,Voir sa fiche,Equifun 50 cm,Club Poney Minime Circuit Dpt individuel,,5,1,cold-start,True,LightGBM,crawl-predict:c36a23a6,6cb8bf80ee48
2026-05-25T05:55:04,DUBAI DE MESMON,Voir sa fiche,Equifun 50 cm,Club Poney Minime Circuit Dpt individuel,,1,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,473c33190b98
2026-05-25T05:55:04,BEN LA FRAQUETTE,Voir sa fiche,Equifun 50 cm,Club Poney Minime Circuit Dpt individuel,,2,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,e6ecd84bd4bc
2026-05-25T05:55:04,ECLIPSE DE LA COURONE,Voir sa fiche,Equifun 50 cm,Club Poney Minime Circuit Dpt individuel,,3,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,a578a518a393
2026-05-25T05:55:04,DUBAI DE MESMON,Voir sa fiche,Equifun 50 cm,Club Poney Minime Circuit Dpt individuel,,4,17,cold-start,True,LightGBM,crawl-predict:c36a23a6,14df961aa141
